run:
Input(i) Value :5
Generation	Productions

BAYD		S->BAYD
BYAD		AY->YA
BZAD		BY->BZ
BaAZD		ZA->aAZ
BaAAAYD		ZD->AAYD
BaAAYAD		AY->YA
BaAYAAD		AY->YA
BaYAAAD		AY->YA
BYaAAAD		aY->Ya
BZaAAAD		BY->BZ
BaZAAAD		Za->aZ
BaaAZAAD		ZA->aAZ
BaaAaAZAD		ZA->aAZ
BaaAaAaAZD		ZA->aAZ
BaaAaAaAAAYD		ZD->AAYD
BaaAaAaAAYAD		AY->YA
BaaAaAaAYAAD		AY->YA
BaaAaAaYAAAD		AY->YA
BaaAaAYaAAAD		aY->Ya
BaaAaYAaAAAD		AY->YA
BaaAYaAaAAAD		aY->Ya
BaaYAaAaAAAD		AY->YA
BaYaAaAaAAAD		aY->Ya
BYaaAaAaAAAD		aY->Ya
BZaaAaAaAAAD		BY->BZ
BaZaAaAaAAAD		Za->aZ
BaaZAaAaAAAD		Za->aZ
BaaaAZaAaAAAD		ZA->aAZ
BaaaAaZAaAAAD		Za->aZ
BaaaAaaAZaAAAD		ZA->aAZ
BaaaAaaAaZAAAD		Za->aZ
BaaaAaaAaaAZAAD		ZA->aAZ
BaaaAaaAaaAaAZAD		ZA->aAZ
BaaaAaaAaaAaAaAZD		ZA->aAZ
BaaaAaaAaaAaAaAAAYD		ZD->AAYD
BaaaAaaAaaAaAaAAYAD		AY->YA
BaaaAaaAaaAaAaAYAAD		AY->YA
BaaaAaaAaaAaAaYAAAD		AY->YA
BaaaAaaAaaAaAYaAAAD		aY->Ya
BaaaAaaAaaAaYAaAAAD		AY->YA
BaaaAaaAaaAYaAaAAAD		aY->Ya
BaaaAaaAaaYAaAaAAAD		AY->YA
BaaaAaaAaYaAaAaAAAD		aY->Ya
BaaaAaaAYaaAaAaAAAD		aY->Ya
BaaaAaaYAaaAaAaAAAD		AY->YA
BaaaAaYaAaaAaAaAAAD		aY->Ya
BaaaAYaaAaaAaAaAAAD		aY->Ya
BaaaYAaaAaaAaAaAAAD		AY->YA
BaaYaAaaAaaAaAaAAAD		aY->Ya
BaYaaAaaAaaAaAaAAAD		aY->Ya
BYaaaAaaAaaAaAaAAAD		aY->Ya
BZaaaAaaAaaAaAaAAAD		BY->BZ
BaZaaAaaAaaAaAaAAAD		Za->aZ
BaaZaAaaAaaAaAaAAAD		Za->aZ
BaaaZAaaAaaAaAaAAAD		Za->aZ
BaaaaAZaaAaaAaAaAAAD		ZA->aAZ
BaaaaAaZaAaaAaAaAAAD		Za->aZ
BaaaaAaaZAaaAaAaAAAD		Za->aZ
BaaaaAaaaAZaaAaAaAAAD		ZA->aAZ
BaaaaAaaaAaZaAaAaAAAD		Za->aZ
BaaaaAaaaAaaZAaAaAAAD		Za->aZ
BaaaaAaaaAaaaAZaAaAAAD		ZA->aAZ
BaaaaAaaaAaaaAaZAaAAAD		Za->aZ
BaaaaAaaaAaaaAaaAZaAAAD		ZA->aAZ
BaaaaAaaaAaaaAaaAaZAAAD		Za->aZ
BaaaaAaaaAaaaAaaAaaAZAAD		ZA->aAZ
BaaaaAaaaAaaaAaaAaaAaAZAD		ZA->aAZ
BaaaaAaaaAaaaAaaAaaAaAaAZD		ZA->aAZ
BaaaaAaaaAaaaAaaAaaAaAaAAAYD		ZD->AAYD
BaaaaAaaaAaaaAaaAaaAaAaAAAX		YD->X
BaaaaAaaaAaaaAaaAaaAaAaAAXa		AX->Xa
BaaaaAaaaAaaaAaaAaaAaAaAXaa		AX->Xa
BaaaaAaaaAaaaAaaAaaAaAaXaaa		AX->Xa
BaaaaAaaaAaaaAaaAaaAaAXaaaa		aX->Xa
BaaaaAaaaAaaaAaaAaaAaXaaaaa		AX->Xa
BaaaaAaaaAaaaAaaAaaAXaaaaaa		aX->Xa
BaaaaAaaaAaaaAaaAaaXaaaaaaa		AX->Xa
BaaaaAaaaAaaaAaaAaXaaaaaaaa		aX->Xa
BaaaaAaaaAaaaAaaAXaaaaaaaaa		aX->Xa
BaaaaAaaaAaaaAaaXaaaaaaaaaa		AX->Xa
BaaaaAaaaAaaaAaXaaaaaaaaaaa		aX->Xa
BaaaaAaaaAaaaAXaaaaaaaaaaaa		aX->Xa
BaaaaAaaaAaaaXaaaaaaaaaaaaa		AX->Xa
BaaaaAaaaAaaXaaaaaaaaaaaaaa		aX->Xa
BaaaaAaaaAaXaaaaaaaaaaaaaaa		aX->Xa
BaaaaAaaaAXaaaaaaaaaaaaaaaa		aX->Xa
BaaaaAaaaXaaaaaaaaaaaaaaaaa		AX->Xa
BaaaaAaaXaaaaaaaaaaaaaaaaaa		aX->Xa
BaaaaAaXaaaaaaaaaaaaaaaaaaa		aX->Xa
BaaaaAXaaaaaaaaaaaaaaaaaaaa		aX->Xa
BaaaaXaaaaaaaaaaaaaaaaaaaaa		AX->Xa
BaaaXaaaaaaaaaaaaaaaaaaaaaa		aX->Xa
BaaXaaaaaaaaaaaaaaaaaaaaaaa		aX->Xa
BaXaaaaaaaaaaaaaaaaaaaaaaaa		aX->Xa
BXaaaaaaaaaaaaaaaaaaaaaaaaa		aX->Xa
aaaaaaaaaaaaaaaaaaaaaaaaa		BX->eps
String length : 25
BUILD SUCCESSFUL (total time: 0 seconds)
